ID,Full Name,Gender,Date of Birth,Checkout Date,Purpose,SOURCE,Overall Experience,NPS RATING,NPS CATEGORY,Feedback,Feedback Category,Rating,Rating Range
1000,Guest 01000,Male,1990-10-25,2021-12-14,Business,Organization,5,4,Detractors,Gym,Facility,Very good,4
1001,Guest 01001,Female,2006-04-15,2020-07-21,Vacation,Television advertisement,2,6,Detractors,Staff attitude,Staff,Very good,4
1002,Guest 01002,Male,1966-07-30,2021-03-27,Business,Internet advertisement,5,7,Passives,Check-in Process,Staff,Very good,4
1003,Guest 01003,Male,1978-07-11,2022-09-21,Business,Organization,4,9,Promoters,Room service,Room,Poor,1
1004,Guest 01004,Female,1962-02-14,2021-11-14,Function,Search engine,4,7,Passives,Room cleanliness,Room,Good,3
1005,Guest 01005,Female,1998-06-04,2022-08-19,Function,Organization,2,9,Promoters,Food quality,Restaurant,Average,2
1006,Guest 01006,Female,1983-03-02,2021-08-31,Vacation,Internet advertisement,5,6,Detractors,Variety of food,Restaurant,Poor,1
1007,Guest 01007,Male,1995-10-29,2020-05-05,Vacation,hotel booking sites,5,9,Promoters,Broadband & TV,Facility,Poor,1
1008,Guest 01008,Male,1952-11-26,2021-01-14,Business,Organization,4,7,Passives,Gym,Facility,Very good,4
1009,Guest 01009,Female,1951-06-25,2022-02-26,Business,Organization,4,5,Detractors,Staff attitude,Staff,Very good,4
1010,Guest 01010,Male,1988-04-30,2021-07-18,Business,Organization,5,8,Passives,Check-in Process,Staff,Excellent,5
1011,Guest 01011,Male,1957-05-09,2022-03-08,Vacation,hotel booking sites,5,4,Detractors,Room service,Room,Excellent,5
1012,Guest 01012,Male,1993-10-10,2022-01-11,Vacation,hotel booking sites,1,9,Promoters,Room cleanliness,Room,Good,3
1013,Guest 01013,Male,1985-06-13,2022-09-17,Vacation,Internet advertisement,5,10,Promoters,Food quality,Restaurant,Excellent,5
1014,Guest 01014,Female,1954-03-08,2021-06-24,Business,Organization,4,9,Promoters,Variety of food,Restaurant,Poor,1
1015,Guest 01015,Male,1976-08-05,2020-03-17,Function,Word of mouth,2,9,Promoters,Broadband & TV,Facility,Average,2
1016,Guest 01016,Male,1994-08-01,2020-01-21,Business,Organization,5,9,Promoters,Gym,Facility,Excellent,5
1017,Guest 01017,Female,2001-06-26,2020-12-26,Business,Organization,5,9,Promoters,Staff attitude,Staff,Very good,4
1018,Guest 01018,Female,1980-04-21,2022-08-03,Business,Organization,1,9,Promoters,Check-in Process,Staff,Very good,4
1019,Guest 01019,Female,1954-07-21,2022-01-13,Business,Organization,4,9,Promoters,Room service,Room,Excellent,5
1020,Guest 01020,Female,2000-01-26,2020-08-25,Vacation,hotel booking sites,4,9,Promoters,Room cleanliness,Room,Poor,1
1021,Guest 01021,Male,1998-12-27,2022-02-11,Business,Organization,5,9,Promoters,Food quality,Restaurant,Good,3
1022,Guest 01022,Female,1989-01-14,2021-04-01,Vacation,Internet advertisement,3,7,Passives,Variety of food,Restaurant,Average,2
1023,Guest 01023,Female,2002-11-29,2021-11-09,Business,Organization,5,4,Detractors,Broadband & TV,Facility,Very good,4
1024,Guest 01024,Female,1959-07-24,2020-06-24,Vacation,hotel booking sites,5,9,Promoters,Gym,Facility,Excellent,5
1025,Guest 01025,Male,1975-08-23,2022-08-17,Vacation,Internet advertisement,4,6,Detractors,Staff attitude,Staff,Good,3
1026,Guest 01026,Female,1995-09-29,2022-02-08,Vacation,Internet advertisement,5,10,Promoters,Check-in Process,Staff,Excellent,5
1027,Guest 01027,Female,1999-11-18,2022-05-19,Vacation,Search engine,4,7,Passives,Room service,Room,Good,3
1028,Guest 01028,Female,1998-09-19,2020-11-16,Vacation,Word of mouth,5,7,Passives,Room cleanliness,Room,Very good,4
1029,Guest 01029,Male,1989-11-28,2020-12-27,Vacation,hotel booking sites,2,6,Detractors,Food quality,Restaurant,Good,3
1030,Guest 01030,Male,1968-01-09,2020-07-08,Business,Search engine,4,10,Promoters,Variety of food,Restaurant,Average,2
1031,Guest 01031,Male,1970-02-20,2022-02-25,Vacation,News paper,2,9,Promoters,Broadband & TV,Facility,Average,2
1032,Guest 01032,Male,1998-12-03,2020-04-14,Business,Organization,4,8,Passives,Gym,Facility,Average,2
1033,Guest 01033,Male,1980-12-10,2022-03-29,Other,hotel booking sites,4,9,Promoters,Staff attitude,Staff,Very good,4
1034,Guest 01034,Male,1961-09-12,2021-03-14,Vacation,Word of mouth,3,10,Promoters,Check-in Process,Staff,Excellent,5
1035,Guest 01035,Male,1972-10-08,2022-05-20,Function,Television advertisement,3,6,Detractors,Room service,Room,Excellent,5
1036,Guest 01036,Male,1994-11-11,2020-11-19,Vacation,hotel booking sites,5,4,Detractors,Room cleanliness,Room,Average,2
1037,Guest 01037,Male,1973-08-28,2021-03-28,Business,Organization,5,9,Promoters,Food quality,Restaurant,Excellent,5
1038,Guest 01038,Male,2006-09-26,2021-12-30,Other,hotel booking sites,3,4,Detractors,Variety of food,Restaurant,Poor,1
1039,Guest 01039,Female,1955-06-28,2021-08-18,Business,Organization,5,3,Detractors,Broadband & TV,Facility,Very good,4
1040,Guest 01040,Female,1999-09-15,2020-03-27,Business,Organization,1,7,Passives,Gym,Facility,Good,3
1041,Guest 01041,Male,1967-07-29,2022-04-10,Business,Organization,4,8,Passives,Staff attitude,Staff,Very good,4
1042,Guest 01042,Male,1956-07-03,2022-11-05,Business,Organization,4,4,Detractors,Check-in Process,Staff,Excellent,5
1043,Guest 01043,Female,1995-02-28,2020-08-03,Business,Organization,1,4,Detractors,Room service,Room,Good,3
1044,Guest 01044,Female,1999-04-01,2022-06-23,Business,Organization,1,3,Detractors,Room cleanliness,Room,Poor,1
1045,Guest 01045,Male,1991-08-16,2020-09-08,Business,hotel booking sites,4,8,Passives,Food quality,Restaurant,Very good,4
1046,Guest 01046,Male,1956-05-31,2021-09-25,Business,Organization,3,4,Detractors,Variety of food,Restaurant,Average,2
1047,Guest 01047,Female,1999-09-12,2021-10-20,Vacation,Organization,3,9,Promoters,Broadband & TV,Facility,Good,3
1048,Guest 01048,Male,1953-02-08,2022-09-11,Business,Organization,5,5,Detractors,Gym,Facility,Average,2
1049,Guest 01049,Female,1983-03-13,2020-08-13,Function,Television advertisement,4,9,Promoters,Staff attitude,Staff,Very good,4
1050,Guest 01050,Male,2005-09-20,2021-09-12,Business,Organization,5,7,Passives,Check-in Process,Staff,Excellent,5
1051,Guest 01051,Female,1961-07-22,2021-10-26,Vacation,Word of mouth,5,9,Promoters,Room service,Room,Poor,1
1052,Guest 01052,Male,1995-03-16,2021-06-28,Vacation,hotel booking sites,4,7,Passives,Room cleanliness,Room,Excellent,5
1053,Guest 01053,Male,1992-05-05,2020-10-21,Vacation,hotel booking sites,5,7,Passives,Food quality,Restaurant,Very good,4
1054,Guest 01054,Male,1966-11-24,2020-12-08,Function,Internet advertisement,1,4,Detractors,Variety of food,Restaurant,Poor,1
1055,Guest 01055,Male,1969-12-10,2020-11-15,Vacation,Internet advertisement,1,10,Promoters,Broadband & TV,Facility,Very good,4
1056,Guest 01056,Male,1969-11-10,2022-05-25,Vacation,hotel booking sites,4,7,Passives,Gym,Facility,Average,2
1057,Guest 01057,Female,1966-11-20,2020-03-10,Business,Organization,3,6,Detractors,Staff attitude,Staff,Good,3
1058,Guest 01058,Female,1959-10-03,2021-06-24,Business,Internet advertisement,4,9,Promoters,Check-in Process,Staff,Good,3
1059,Guest 01059,Female,1987-02-04,2022-03-26,Business,Organization,3,9,Promoters,Room service,Room,Good,3
1060,Guest 01060,Male,1998-09-16,2021-02-09,Vacation,Search engine,5,6,Detractors,Room cleanliness,Room,Average,2
1061,Guest 01061,Male,1998-04-19,2022-09-13,Vacation,Internet advertisement,1,6,Detractors,Food quality,Restaurant,Poor,1
1062,Guest 01062,Male,1966-03-11,2020-11-09,Business,Organization,3,7,Passives,Variety of food,Restaurant,Average,2
1063,Guest 01063,Female,1980-06-10,2022-01-23,Function,News paper,4,5,Detractors,Broadband & TV,Facility,Poor,1
1064,Guest 01064,Female,2004-10-19,2020-11-12,Vacation,Internet advertisement,3,9,Promoters,Gym,Facility,Excellent,5
1065,Guest 01065,Male,1961-02-25,2021-07-07,Business,Organization,5,8,Passives,Staff attitude,Staff,Very good,4
1066,Guest 01066,Male,1951-01-04,2022-05-03,Function,Television advertisement,5,10,Promoters,Check-in Process,Staff,Very good,4
1067,Guest 01067,Female,1963-10-09,2020-10-10,Vacation,Search engine,5,9,Promoters,Room service,Room,Excellent,5
1068,Guest 01068,Female,1987-11-06,2020-10-15,Business,Organization,4,6,Detractors,Room cleanliness,Room,Very good,4
1069,Guest 01069,Male,1964-05-26,2021-08-12,Business,Organization,5,8,Passives,Food quality,Restaurant,Poor,1
1070,Guest 01070,Male,1965-09-12,2021-05-21,Function,Television advertisement,4,8,Passives,Variety of food,Restaurant,Poor,1
1071,Guest 01071,Male,1951-04-29,2020-12-12,Vacation,Word of mouth,3,7,Passives,Broadband & TV,Facility,Very good,4
1072,Guest 01072,Female,1977-06-17,2020-12-03,Vacation,Internet advertisement,1,3,Detractors,Gym,Facility,Very good,4
1073,Guest 01073,Female,1964-09-29,2022-07-21,Vacation,Television advertisement,3,10,Promoters,Staff attitude,Staff,Excellent,5
1074,Guest 01074,Male,2005-09-26,2020-12-31,Business,Organization,4,5,Detractors,Check-in Process,Staff,Very good,4
1075,Guest 01075,Female,1982-02-06,2020-12-17,Vacation,hotel booking sites,5,6,Detractors,Room service,Room,Excellent,5
1076,Guest 01076,Male,1958-09-08,2021-11-02,Business,Organization,3,7,Passives,Room cleanliness,Room,Very good,4
1077,Guest 01077,Male,1991-12-20,2020-08-16,Function,News paper,4,9,Promoters,Food quality,Restaurant,Very good,4
1078,Guest 01078,Male,1955-08-28,2021-08-04,Vacation,Word of mouth,4,9,Promoters,Variety of food,Restaurant,Poor,1
1079,Guest 01079,Female,2002-08-02,2020-07-18,Business,Organization,4,6,Detractors,Broadband & TV,Facility,Average,2
1080,Guest 01080,Male,1979-10-15,2020-03-13,Function,Word of mouth,2,8,Passives,Gym,Facility,Excellent,5
1081,Guest 01081,Male,1968-12-19,2020-03-20,Business,Organization,1,10,Promoters,Staff attitude,Staff,Good,3
1082,Guest 01082,Female,1985-03-05,2020-12-19,Vacation,hotel booking sites,1,9,Promoters,Check-in Process,Staff,Very good,4
1083,Guest 01083,Female,1995-09-03,2020-09-14,Business,Search engine,3,9,Promoters,Room service,Room,Excellent,5
1084,Guest 01084,Female,1951-03-23,2021-12-24,Business,Organization,4,9,Promoters,Room cleanliness,Room,Very good,4
1085,Guest 01085,Female,1952-11-17,2021-04-17,Vacation,Internet advertisement,5,9,Promoters,Food quality,Restaurant,Excellent,5
1086,Guest 01086,Female,1980-11-27,2020-10-13,Business,Search engine,5,4,Detractors,Variety of food,Restaurant,Average,2
1087,Guest 01087,Male,1963-01-02,2022-04-12,Vacation,Search engine,3,8,Passives,Broadband & TV,Facility,Average,2
1088,Guest 01088,Male,1997-12-30,2021-06-25,Function,Word of mouth,5,9,Promoters,Gym,Facility,Poor,1
1089,Guest 01089,Female,1972-11-22,2021-07-06,Business,Organization,3,9,Promoters,Staff attitude,Staff,Good,3
1090,Guest 01090,Male,2000-08-26,2021-08-18,Business,Organization,5,8,Passives,Check-in Process,Staff,Very good,4
1091,Guest 01091,Male,1993-12-31,2021-01-24,Vacation,hotel booking sites,2,7,Passives,Room service,Room,Excellent,5
1092,Guest 01092,Male,1979-06-02,2020-06-11,Business,Search engine,1,6,Detractors,Room cleanliness,Room,Poor,1
1093,Guest 01093,Female,1965-12-14,2022-02-14,Function,News paper,2,4,Detractors,Food quality,Restaurant,Very good,4
1094,Guest 01094,Male,1981-05-18,2020-08-03,Business,Organization,3,9,Promoters,Variety of food,Restaurant,Poor,1
1095,Guest 01095,Male,1964-08-21,2022-07-19,Vacation,Television advertisement,4,9,Promoters,Broadband & TV,Facility,Average,2
1096,Guest 01096,Female,1999-02-14,2022-06-04,Business,Organization,5,9,Promoters,Gym,Facility,Average,2
1097,Guest 01097,Male,1952-10-22,2020-02-05,Vacation,Internet advertisement,1,8,Passives,Staff attitude,Staff,Good,3
1098,Guest 01098,Male,1964-11-10,2020-12-06,Business,Organization,3,8,Passives,Check-in Process,Staff,Poor,1
1099,Guest 01099,Female,1978-01-16,2021-08-16,Vacation,hotel booking sites,2,4,Detractors,Room service,Room,Good,3
1100,Guest 01100,Female,1954-01-05,2020-07-27,Business,Internet advertisement,4,9,Promoters,Room cleanliness,Room,Poor,1
1101,Guest 01101,Male,1975-09-01,2020-06-03,Other,Search engine,5,9,Promoters,Food quality,Restaurant,Excellent,5
1102,Guest 01102,Male,1988-08-21,2021-08-27,Vacation,hotel booking sites,3,8,Passives,Variety of food,Restaurant,Poor,1
1103,Guest 01103,Female,1966-02-27,2022-07-24,Business,Organization,5,5,Detractors,Broadband & TV,Facility,Good,3
1104,Guest 01104,Male,2002-06-26,2022-02-13,Business,Organization,4,8,Passives,Gym,Facility,Average,2
1105,Guest 01105,Female,1972-02-05,2021-10-17,Vacation,News paper,3,5,Detractors,Staff attitude,Staff,Very good,4
1106,Guest 01106,Female,1987-01-26,2021-03-27,Business,Organization,5,9,Promoters,Check-in Process,Staff,Very good,4
1107,Guest 01107,Female,1951-11-22,2021-12-26,Business,Organization,4,9,Promoters,Room service,Room,Good,3
1108,Guest 01108,Female,1975-10-01,2021-06-08,Other,hotel booking sites,4,3,Detractors,Room cleanliness,Room,Average,2
1109,Guest 01109,Male,1989-04-18,2021-09-30,Vacation,hotel booking sites,5,7,Passives,Food quality,Restaurant,Excellent,5
1110,Guest 01110,Male,1959-01-14,2020-08-14,Other,Television advertisement,4,8,Passives,Variety of food,Restaurant,Poor,1
1111,Guest 01111,Female,1982-04-26,2020-10-25,Vacation,Organization,3,4,Detractors,Broadband & TV,Facility,Good,3
1112,Guest 01112,Female,1957-07-07,2020-01-29,Vacation,Internet advertisement,5,10,Promoters,Gym,Facility,Good,3
1113,Guest 01113,Male,1983-11-06,2021-01-02,Other,hotel booking sites,4,7,Passives,Staff attitude,Staff,Very good,4
1114,Guest 01114,Female,1979-06-05,2020-09-29,Vacation,Word of mouth,4,5,Detractors,Check-in Process,Staff,Very good,4
1115,Guest 01115,Male,1978-03-11,2021-01-17,Vacation,Word of mouth,5,9,Promoters,Room service,Room,Very good,4
1116,Guest 01116,Male,1955-01-05,2022-10-07,Business,Organization,3,9,Promoters,Room cleanliness,Room,Good,3
1117,Guest 01117,Male,1953-03-29,2021-12-29,Business,Organization,4,8,Passives,Food quality,Restaurant,Excellent,5
1118,Guest 01118,Male,1953-06-25,2021-12-04,Business,Organization,4,9,Promoters,Variety of food,Restaurant,Poor,1
1119,Guest 01119,Female,1959-06-24,2021-11-10,Business,Organization,5,6,Detractors,Broadband & TV,Facility,Very good,4
1120,Guest 01120,Female,1966-03-25,2021-09-26,Vacation,News paper,3,4,Detractors,Gym,Facility,Excellent,5
1121,Guest 01121,Male,1970-05-14,2020-12-24,Vacation,Word of mouth,5,8,Passives,Staff attitude,Staff,Good,3
1122,Guest 01122,Female,1989-09-13,2022-02-20,Function,News paper,2,9,Promoters,Check-in Process,Staff,Good,3
1123,Guest 01123,Male,1969-06-13,2020-02-14,Vacation,Word of mouth,2,9,Promoters,Room service,Room,Very good,4
1124,Guest 01124,Male,1965-07-21,2022-05-06,Business,hotel booking sites,2,5,Detractors,Room cleanliness,Room,Average,2
1125,Guest 01125,Female,1993-11-02,2022-05-12,Vacation,Organization,5,6,Detractors,Food quality,Restaurant,Poor,1
1126,Guest 01126,Male,1983-04-15,2021-04-15,Vacation,hotel booking sites,2,8,Passives,Variety of food,Restaurant,Average,2
1127,Guest 01127,Male,1982-08-26,2022-02-09,Vacation,Search engine,3,7,Passives,Broadband & TV,Facility,Good,3
1128,Guest 01128,Male,1965-06-28,2022-09-15,Function,Organization,5,10,Promoters,Gym,Facility,Very good,4
1129,Guest 01129,Female,1998-06-07,2020-09-21,Vacation,Word of mouth,4,6,Detractors,Staff attitude,Staff,Very good,4
1130,Guest 01130,Female,1962-01-01,2022-07-10,Business,Organization,1,8,Passives,Check-in Process,Staff,Excellent,5
1131,Guest 01131,Male,1978-10-02,2021-05-14,Function,News paper,4,8,Passives,Room service,Room,Good,3
1132,Guest 01132,Male,1962-06-21,2022-08-28,Other,Search engine,4,4,Detractors,Room cleanliness,Room,Excellent,5
1133,Guest 01133,Male,1982-03-18,2021-05-03,Other,hotel booking sites,1,7,Passives,Food quality,Restaurant,Good,3
1134,Guest 01134,Female,1966-06-18,2021-04-04,Business,Organization,5,3,Detractors,Variety of food,Restaurant,Poor,1
1135,Guest 01135,Male,1960-06-09,2020-10-29,Other,Word of mouth,5,9,Promoters,Broadband & TV,Facility,Good,3
1136,Guest 01136,Male,1988-02-21,2021-04-30,Other,hotel booking sites,4,8,Passives,Gym,Facility,Excellent,5
1137,Guest 01137,Male,1976-06-08,2022-03-17,Business,Organization,4,9,Promoters,Staff attitude,Staff,Excellent,5
1138,Guest 01138,Male,1987-06-07,2020-11-11,Business,Organization,3,6,Detractors,Check-in Process,Staff,Excellent,5
1139,Guest 01139,Female,1987-07-29,2020-12-12,Business,Organization,5,4,Detractors,Room service,Room,Excellent,5
1140,Guest 01140,Male,1958-12-28,2021-01-27,Vacation,Search engine,4,9,Promoters,Room cleanliness,Room,Very good,4
1141,Guest 01141,Male,1965-07-28,2021-03-10,Business,Organization,2,7,Passives,Food quality,Restaurant,Excellent,5
1142,Guest 01142,Female,1992-11-03,2021-09-05,Business,Organization,4,8,Passives,Variety of food,Restaurant,Average,2
1143,Guest 01143,Male,1955-01-10,2021-02-21,Business,Organization,4,8,Passives,Broadband & TV,Facility,Average,2
1144,Guest 01144,Female,1987-10-17,2022-03-22,Vacation,Internet advertisement,5,9,Promoters,Gym,Facility,Poor,1
1145,Guest 01145,Male,2004-04-22,2020-02-07,Business,Organization,3,9,Promoters,Staff attitude,Staff,Very good,4
1146,Guest 01146,Male,2004-10-06,2020-07-21,Other,hotel booking sites,5,9,Promoters,Check-in Process,Staff,Excellent,5
1147,Guest 01147,Female,1966-02-19,2021-05-02,Business,Organization,2,7,Passives,Room service,Room,Excellent,5
1148,Guest 01148,Male,2002-10-18,2021-03-28,Vacation,hotel booking sites,5,9,Promoters,Room cleanliness,Room,Excellent,5
1149,Guest 01149,Female,1986-03-18,2021-04-30,Business,Organization,2,7,Passives,Food quality,Restaurant,Very good,4
1150,Guest 01150,Male,1969-05-01,2021-01-16,Vacation,Word of mouth,3,7,Passives,Variety of food,Restaurant,Poor,1
1151,Guest 01151,Female,1996-04-21,2020-10-28,Vacation,hotel booking sites,5,7,Passives,Broadband & TV,Facility,Excellent,5
1152,Guest 01152,Male,1969-04-24,2020-03-22,Business,Organization,4,8,Passives,Gym,Facility,Poor,1
1153,Guest 01153,Male,1966-09-22,2021-06-23,Vacation,Television advertisement,2,9,Promoters,Staff attitude,Staff,Very good,4
1154,Guest 01154,Female,2005-08-11,2022-10-12,Other,hotel booking sites,5,9,Promoters,Check-in Process,Staff,Good,3
1155,Guest 01155,Male,1952-01-29,2022-05-12,Vacation,hotel booking sites,5,4,Detractors,Room service,Room,Very good,4
1156,Guest 01156,Male,1967-10-03,2022-09-26,Business,Search engine,4,7,Passives,Room cleanliness,Room,Good,3
1157,Guest 01157,Male,1978-11-12,2021-03-06,Business,Organization,2,8,Passives,Food quality,Restaurant,Very good,4
1158,Guest 01158,Female,1967-04-28,2021-05-02,Business,Organization,5,9,Promoters,Variety of food,Restaurant,Average,2
1159,Guest 01159,Male,1956-01-23,2021-04-09,Vacation,Word of mouth,3,9,Promoters,Broadband & TV,Facility,Average,2
1160,Guest 01160,Male,1965-07-02,2020-02-07,Business,Organization,5,3,Detractors,Gym,Facility,Average,2
1161,Guest 01161,Female,1966-10-05,2020-04-18,Vacation,hotel booking sites,3,7,Passives,Staff attitude,Staff,Very good,4
1162,Guest 01162,Male,1969-03-13,2021-08-20,Vacation,Word of mouth,5,9,Promoters,Check-in Process,Staff,Excellent,5
1163,Guest 01163,Female,1996-04-06,2020-03-06,Vacation,hotel booking sites,4,6,Detractors,Room service,Room,Excellent,5
1164,Guest 01164,Female,1999-01-28,2020-01-17,Business,Organization,4,5,Detractors,Room cleanliness,Room,Excellent,5
1165,Guest 01165,Male,1954-11-14,2022-06-26,Business,Organization,4,7,Passives,Food quality,Restaurant,Excellent,5
1166,Guest 01166,Male,2000-12-10,2020-11-01,Business,Organization,4,5,Detractors,Variety of food,Restaurant,Very good,4
1167,Guest 01167,Male,1997-05-30,2020-06-02,Function,Organization,3,9,Promoters,Broadband & TV,Facility,Excellent,5
1168,Guest 01168,Male,1984-08-30,2022-12-20,Vacation,Internet advertisement,2,6,Detractors,Gym,Facility,Excellent,5
1169,Guest 01169,Male,1974-08-23,2020-01-09,Vacation,Internet advertisement,5,9,Promoters,Staff attitude,Staff,Good,3
1170,Guest 01170,Female,1959-12-27,2020-06-26,Business,Organization,4,10,Promoters,Check-in Process,Staff,Excellent,5
1171,Guest 01171,Male,1987-08-17,2022-11-09,Business,Organization,3,10,Promoters,Room service,Room,Good,3
1172,Guest 01172,Male,1984-01-23,2022-11-11,Business,Organization,4,5,Detractors,Room cleanliness,Room,Excellent,5
1173,Guest 01173,Male,1967-03-14,2022-07-04,Business,Organization,3,6,Detractors,Food quality,Restaurant,Average,2
1174,Guest 01174,Female,1994-07-19,2020-03-21,Function,hotel booking sites,2,9,Promoters,Variety of food,Restaurant,Average,2
1175,Guest 01175,Male,1982-10-13,2022-12-14,Function,News paper,5,9,Promoters,Broadband & TV,Facility,Very good,4
1176,Guest 01176,Male,1966-09-14,2022-10-08,Function,Word of mouth,4,9,Promoters,Gym,Facility,Very good,4
1177,Guest 01177,Female,1967-09-30,2022-10-16,Business,Word of mouth,4,9,Promoters,Staff attitude,Staff,Good,3
1178,Guest 01178,Male,1973-09-11,2021-05-03,Function,News paper,4,7,Passives,Check-in Process,Staff,Good,3
1179,Guest 01179,Male,1951-10-14,2022-07-10,Business,Word of mouth,4,7,Passives,Room service,Room,Average,2
1180,Guest 01180,Male,1995-06-24,2020-05-07,Business,Organization,3,9,Promoters,Room cleanliness,Room,Good,3
1181,Guest 01181,Male,1972-03-15,2021-02-04,Vacation,Television advertisement,3,9,Promoters,Food quality,Restaurant,Very good,4
1182,Guest 01182,Female,1951-11-27,2022-10-02,Business,Organization,4,8,Passives,Variety of food,Restaurant,Excellent,5
1183,Guest 01183,Male,1978-04-07,2021-07-08,Vacation,Word of mouth,1,5,Detractors,Broadband & TV,Facility,Excellent,5
1184,Guest 01184,Male,1976-07-02,2020-01-28,Function,Word of mouth,5,3,Detractors,Gym,Facility,Very good,4
1185,Guest 01185,Male,1995-04-28,2022-04-14,Vacation,hotel booking sites,5,4,Detractors,Staff attitude,Staff,Very good,4
1186,Guest 01186,Female,1985-05-24,2021-12-07,Business,Organization,4,9,Promoters,Check-in Process,Staff,Average,2
1187,Guest 01187,Female,1968-01-29,2022-06-21,Vacation,Word of mouth,4,7,Passives,Room service,Room,Very good,4
1188,Guest 01188,Female,1953-06-27,2022-08-22,Vacation,hotel booking sites,5,5,Detractors,Room cleanliness,Room,Good,3
1189,Guest 01189,Male,1959-01-18,2021-12-27,Vacation,hotel booking sites,4,9,Promoters,Food quality,Restaurant,Good,3
1190,Guest 01190,Male,1965-10-05,2020-03-27,Business,Organization,5,8,Passives,Variety of food,Restaurant,Poor,1
1191,Guest 01191,Female,1959-08-21,2021-08-16,Vacation,News paper,5,7,Passives,Broadband & TV,Facility,Poor,1
1192,Guest 01192,Female,1964-08-20,2022-05-12,Vacation,Word of mouth,2,9,Promoters,Gym,Facility,Good,3
1193,Guest 01193,Female,2003-05-23,2020-09-15,Vacation,Television advertisement,5,9,Promoters,Staff attitude,Staff,Very good,4
1194,Guest 01194,Male,1981-03-13,2022-09-03,Business,Organization,4,9,Promoters,Check-in Process,Staff,Excellent,5
1195,Guest 01195,Male,1975-04-06,2022-06-30,Other,Word of mouth,1,8,Passives,Room service,Room,Very good,4
1196,Guest 01196,Female,1975-01-05,2021-01-18,Vacation,Search engine,1,3,Detractors,Room cleanliness,Room,Excellent,5
1197,Guest 01197,Female,1958-06-22,2020-11-18,Vacation,hotel booking sites,4,7,Passives,Food quality,Restaurant,Average,2
1198,Guest 01198,Male,1960-03-02,2022-07-18,Function,Word of mouth,5,6,Detractors,Variety of food,Restaurant,Poor,1
1199,Guest 01199,Female,1989-06-16,2021-03-15,Other,Search engine,4,8,Passives,Broadband & TV,Facility,Poor,1
1200,Guest 01200,Male,1978-08-22,2020-06-20,Vacation,Search engine,1,9,Promoters,Gym,Facility,Excellent,5
1201,Guest 01201,Female,1990-10-26,2020-07-25,Business,Organization,4,6,Detractors,Staff attitude,Staff,Average,2
1202,Guest 01202,Female,1999-09-30,2020-02-01,Business,Organization,3,9,Promoters,Check-in Process,Staff,Poor,1
1203,Guest 01203,Male,1961-03-21,2021-04-16,Function,Television advertisement,5,10,Promoters,Room service,Room,Very good,4
1204,Guest 01204,Female,1988-04-25,2022-07-12,Vacation,Internet advertisement,5,4,Detractors,Room cleanliness,Room,Poor,1
1205,Guest 01205,Male,2002-01-06,2021-10-25,Vacation,hotel booking sites,4,9,Promoters,Food quality,Restaurant,Very good,4
1206,Guest 01206,Male,1959-09-29,2022-10-09,Function,Search engine,3,7,Passives,Variety of food,Restaurant,Average,2
1207,Guest 01207,Female,1997-12-22,2020-03-06,Business,Organization,3,10,Promoters,Broadband & TV,Facility,Excellent,5
1208,Guest 01208,Male,1992-04-30,2021-01-31,Function,Organization,1,4,Detractors,Gym,Facility,Poor,1
1209,Guest 01209,Female,2004-05-10,2021-11-05,Vacation,Television advertisement,5,10,Promoters,Staff attitude,Staff,Very good,4
1210,Guest 01210,Male,1962-08-21,2021-04-11,Business,Organization,2,7,Passives,Check-in Process,Staff,Very good,4
1211,Guest 01211,Female,1979-10-01,2022-01-05,Business,hotel booking sites,5,4,Detractors,Room service,Room,Excellent,5
1212,Guest 01212,Male,1973-02-09,2020-06-20,Vacation,Internet advertisement,4,3,Detractors,Room cleanliness,Room,Average,2
1213,Guest 01213,Female,1961-05-25,2021-01-29,Vacation,hotel booking sites,5,9,Promoters,Food quality,Restaurant,Good,3
1214,Guest 01214,Male,2004-01-31,2020-06-10,Vacation,hotel booking sites,4,9,Promoters,Variety of food,Restaurant,Average,2
1215,Guest 01215,Male,1965-04-24,2021-03-30,Business,Organization,5,9,Promoters,Broadband & TV,Facility,Average,2
1216,Guest 01216,Male,1977-05-08,2020-11-13,Vacation,Organization,2,6,Detractors,Gym,Facility,Excellent,5
1217,Guest 01217,Male,1993-01-04,2021-12-29,Business,Organization,5,7,Passives,Staff attitude,Staff,Good,3
1218,Guest 01218,Female,2002-11-25,2021-07-10,Business,Organization,1,5,Detractors,Check-in Process,Staff,Excellent,5
1219,Guest 01219,Male,1999-03-14,2022-05-09,Function,Search engine,5,9,Promoters,Room service,Room,Good,3
1220,Guest 01220,Male,1955-11-13,2020-01-27,Vacation,Word of mouth,3,9,Promoters,Room cleanliness,Room,Poor,1
1221,Guest 01221,Male,1993-08-07,2020-11-13,Vacation,Search engine,5,7,Passives,Food quality,Restaurant,Good,3
1222,Guest 01222,Male,1991-08-10,2020-07-28,Business,Organization,5,8,Passives,Variety of food,Restaurant,Average,2
1223,Guest 01223,Female,2000-11-14,2021-04-26,Vacation,Organization,2,9,Promoters,Broadband & TV,Facility,Excellent,5
1224,Guest 01224,Female,1998-02-09,2020-02-21,Business,Internet advertisement,2,7,Passives,Gym,Facility,Average,2
1225,Guest 01225,Male,1962-05-16,2022-11-07,Business,Organization,5,9,Promoters,Staff attitude,Staff,Excellent,5
